norwegian,english
gordie,Gordie
svartehavet,the black sea
slaktehus,slaughter house
befatning,occupation
bergene,the mountains
tyter,beeps
russian,Russian
calcifer,calcifer
araberen,the Arab
frisyrer,hairstyles
jussen,the law
foretrukne,preferred
dveler,lingers
komikeren,the comedian
verdensutstillingen,the world exhibition
avrusing,detoxification
stabeis,staff ice cream
legitimitet,legitimacy
schweitzer,Swiss
nikkedukke,nodding doll
melasse,molasses
framgangsrik,successful
bullingdon,bullingdon
pruitt,Pruitt
strahm,fear
fraksjonen,the faction
lagerplass,storage space
liberace,liberace
midtskips,amidships
speedster,speedster
weed,weed
gregg,greg
brownie,brownies
baserte,based
pilegrimene,the pilgrims
forankret,rooted
teknikkene,the techniques
økonomiklasse,economy class
golfspiller,golfer
rumenske,Romanian
sayaka,Sayaka
anvende,apply
catedral,cathedral
gringos,gringos
unnskyldte,apologized
benefit,benefit
fiolett,violet
naboo,neighbor
dophuer,dope hats
sylinderen,the cylinder
bøffer,steaks
spisser,tips
fragancia,fragrance
plettfrie,spotless
folg,follow
kumbaya,kumbaya
uforutsett,unforeseen
franke,Frank
path,path
nedkjempe,fight down
vest-berlin,West Berlin
günther,Gunther
kneppet,fucked
forfriskning,refreshment
trauma,trauma
sosialkontoret,the social welfare office
doms,dom
betaier,beavers
bajie,baji
qarth,qarth
tremenning,three men
bryterne,the switches
atspredelse,diversion
burgerne,the burgers
parterer,parties
tomstad,empty town
stangard,stangard
jompa,jump
heromkring,around here
innskrenket,restricted
-jeg,-I
bebe,baby
landstedet,the country house
vedtas,is adopted
hickok,hickok
angå,concern
bruddstykker,fragments
baywatch,baywatch
gourmet,gourmet
terroren,the terror
classic,classic
økonomisjef,financial manager
rone,ron
margit,Margaret
dispensasjon,dispensation
springbrett,springboard
pensel,brush
livsformen,the form of life
svarteste,blackest
tjukkasen,the thick case
resirkulerer,recycles
trailere,trailers
sjelevennen,the soul mate
vendel,turn
feilslått,failed
importerte,imported
hms,hmm
klinikker,clinics
rådvill,at a loss
innkalling,summons
utstasjonert,deployed
forfedrenes,of the ancestors
bæreren,the carrier
avisutklipp,newspaper clippings
musikklærer,music teacher
rosings,roses
medfølelsen,the compassion
tiltar,increases
rasshøla,asshole
ansettelsen,the employment
clenna,Clenna
squirrel,squirrel
funksjonen,the function
forblindet,blinded
t-viruset,the t virus
kolesterolet,the cholesterol
humveen,the humvee
vanligere,more commonly
boksingen,the boxing
frakker,coats
krekene,the Creeks
losje,lodging
saidi,said
eksepsjonelle,exceptional
oxenby,Oxenby
cheerleadere,cheerleaders
variabel,variable
småbyen,the small town
stuarts,Stuart's
sekssifret,six digits
mee,mee
mpondo,mpondo
sagnet,the legend
oversettes,be translated
drøyde,about
jarrod,jarred
larsens,larsen's
goth,goth
katerina,Katerina
rem,strap
coup,coup
omtales,is mentioned
bilbelte,seat belt
frikort,free pass
cushman,cushman
tvitrer,tweets
utrydd,eradicate
innenriks,domestic
tudor,Tudor
ekthet,authenticity
week,week
utrygge,unsafe
basaren,the bazaar
aberdeen,aberdeen
skiva,the disk
slankere,slimmer
renovert,renovated
svens,bachelor
anleggene,the facilities
kortesjen,the cortege
blåveisen,the blue road
bevegelsessensorer,motion sensors
sirkulerer,circulates
støttehjul,support wheel
bene,the legs
boligområde,residential area
arbeidene,the works
gjéør,yawning ear
voydian,voydian
dåden,the deed
og-,and-
avkjøring,exit
mouth,mouth
luftgevær,air rifle
kareem,Kareem
trix,trix
halvfullt,half full
wessel,wessel
mastene,the masts
påtalemyndighetens,of the prosecution
forfør,seduce
yoder,yoder
steppet,the steppe
hogde,chopped
situasjonens,of the situation
cheeseburgere,cheeseburgers
viril,virile
forhåndsregler,advance rules
fratre,resign
læsnæs,read nose
australias,australian
lowa,lowa
j.b.,j.b.
oppkall,call
pianotimer,piano lessons
gigant,giant
spiselige,edible
stefano,Stefano
talentløse,talentless
corvus,corvus
spiro,spiro
halvmeter,half a meter
uberettiget,unjustified
kjæriighet,affection
chou,chow
røker,smokes
walkie-talkien,the walkie-talkie
chavis,Chavis
castleroy,castleroy
innpakning,packaging
ch,ch
bordeller,brothels
varsku,warning
verdensvant,worldly
fiker,figs
stappfull,jam packed
innblandes,mixed in
mayaene,the mayans
toere,twos
sanddynene,the sand dunes
nightingale-morderen,the nightingale killer
velkomstfest,welcome party
sangala,singing
rundturen,the round trip
slasher,slashers
autodefensas,self-defense
flyselskapene,the airlines
løpegutten,the running boy
kvelte,suffocated
praktikantene,the interns
stripperne,the strippers
nøkkelring,key ring
rettsbetjent,bailiff
bård,border
fleksibilitet,flexibility
parnell,Parnell
gjestfri,hospitable
spisestua,the dining room
stimuli,stimuli
slocombe,slocombe
serbere,Serbs
riano,riano
marinejegerne,the marine hunters
klaffen,the flap
imperier,empires
loo,loo
helmut,whole mouth
kompromitterende,compromising
inverness,inverness
besøksforbudet,the curfew
högberg,high mountain
uleselig,unreadable
laverestående,inferior
innretninger,facilities
mobley,mobley
installasjonen,the installation
finkjemmer,fine comb
antraks,anthrax
skvetne,splashed
melle,medium
signaliserte,signaled
sherri,sherry
bellagio,Bellagio
skjelving,trembling
mclovin,mclovin
bandasjere,bandages
alans,alans
waylon,waylon
-åring,-year old
valgår,election year
kolossal,colossal
nugget,nugget
fisefine,fart fine
dixons,dixons
bruser,shower
oppgjørets,settlement
yedo,yes
distriktsadvokaten,the district attorney
forførende,seductive
sprudlende,exuberant
paz,paz
omfattet,covered
bemidji,bemidji
chloes,Chloe
amato,amato
miljøpartiet,the environmental party
snert,snark
bambus,bamboo
prærieulven,the coyote
brøyt,broke
lindenkrone,linden crown
kræsje,crash
mulla,soil
rassia,race
ds,d.s
tastet,keyed
pleien,the care
sexforbryter,sex offender
overhøre,overhear
chevalier,chevalier
mikken,mickey
eska,eska
konsulenten,the consultant
speile,mirrors
frihetskjemper,freedom fighter
tilbakebetale,repay
mustapha,Mustafa
nasjonalitet,nationality
plantegninger,floor plans
dominerte,dominated
buch,buch
jamba,jam
remo,remo
kahytt,cabin
fingerte,fingered
laert,learned
fairbanks,fairbanks
samfunnstjenesten,the community service
nåtidens,of the present
lisser,laces
pøl,pool
arkitekter,architects
presidentskapet,the presidency
nedenom,underneath
makeløst,incomparable
brosjyrene,the brochures
skjulesteder,hiding places
vårruller,spring rolls
scoring,scoring
devin,divine
dresden,Dresden
polarsirkelen,the arctic circle
høyrearmen,the right arm
petruccio,Petruccio
collingwood,collingwood
kompromisse,compromise
flyktningleir,refugee camp
kursendring,course change
rocken,the rock
safirer,sapphires
avspeiler,reflects
capua,capua
bero,bero
raset,collapsed
gryder,pots
fbls,fbls
tenkemåte,way of thinking
forsøkspersoner,subjects
førsteutgave,first edition
eksponere,expose
toppmøte,summit
#VALUE!,#VALUE!
virtuelle,virtual
pantelåneren,the pawnbroker
ungdomsskole,secondary school
stillferdig,quietly
beerntsen,beerntsen
svante,swan
rav,amber
oppslutning,support
arbeidsmoral,work ethic
eichmann,Eichmann
rødjakker,red jackets
skull,skull
iler,hurries
markedene,the markets
trom,drum
tatsu,tatsu
poserte,posed
rommets,of the room
glasshus,glass house
stavene,the staves
flokkens,of the flock
øyebryn,eyebrows
lundys,lundys
innesluttet,contained
calgary,calgary
lenestolen,the armchair
innfinne,invent
saturday,saturday
texanere,Texans
chatwin,chatwin
gazette,gazette
tryller,conjures
sennepen,the mustard
ohrvik,ohrvik
internet,internet
guo,guo
slash,slash
silk,silk
tahime,tahime
mokaschi,mochas
mccullough,mccullough
hendelsesforløpet,the sequence of events
stjeie,loud
dvs.,i.e.
flashpoint,flash point
gyngestol,rocking chair
skure,scrub
maries,Mary's
prekær,precarious
tøysete,cloth seat
frog,frog
smollett,smollett
latrine,latrine
justerte,adjusted
rosenkål,Brussels sprouts
forløpet,the course
renault,renault
dimittert,graduated
camerons,cameron's
kjokkenet,the kitchen
martys,Marty's
ratched,ratcheted
draper,kills
gg,gg
spiderman,spider man
spades,spades
amaya,amaya
newland,newland
oppsigelser,dismissals
sabina,sabina
macavity,macavity
mica,mica
earhart,earhart
statskupp,coup d'état
buffeen,the buffet
demi,Demi
stamkunde,regular customer
resnick,resnick
stimulering,stimulation
rørleggere,plumbers
kiel,keel
railroad,railroad
splittes,split up
travbanen,the trotting track
allergiske,allergic
gulsott,jaundice
tranebærjuice,cranberry juice
gitmo,gitmo
tastetrykk,key press
kuzco,Kuzco
snare,snare
arlo,Arlo
titt-tei,peek-a-boo
ist,ist
kløp,beat
hon,hon
event,event
likbil,hearse
pemberley,pemberley
wyatts,wyatts
tidspunkter,times
sajani,sajani
framhever,highlights
utgivelsen,the release
adhd,adhd
reisens,of the journey
gjennomførbart,feasible
slavehandler,slave trader
provisorisk,provisional
stewie,stewie
flaps,flaps
bismarck,bismarck
kwan,kwan
anstrengelsen,the effort
ángel,Angel
blomsterbutikk,flower shop
kassettspiller,cassette player
trillioner,trillions
hovedsporet,the main track
naermere,closer
arriba,above
solfylt,sunny
detjo,that's it
kroll,roll
nisje,niche
besitte,possess
snurten,the snort
pisa,pee
roro,roro
jamil,jamil
gatiss,gatiss
estetisk,aesthetic
dørklokken,the doorbell
utopium,utopia
genserne,the sweaters
gjerrigknark,stingy junkie
sterile,sterile
fromhet,piety
forspillet,the foreplay
opphev,repeal
drosjesjåføren,the taxi driver
fruens,Mrs
wide,wide
dadda,daddy
fremkalt,evoked
beebe,beebe
sosiologi,sociology
credit,credit
administrere,manage
ringerman,ringer
bæret,carried
barbossa,bar boss
befrukte,fertilize
très,très
samaritan,Samaritan
marmelade,marmalade
psst,psst
entret,entered
skalvi,shivering
blithe,become
autoriserte,authorized
fonda,fund
begrens,limit
mumling,murmuring
engangs,disposable
baderom,bathroom
rothschild,Rothschild
villfaren,the stray
pekka,point
gàr,går
folde,fold
sailor,sailor
nazisten,the Nazi
dobles,doubled
shima,shima
hovedhuset,the main house
heihachi,heihachi
hyperventilerer,hyperventilating
mori,mother
premiene,the prizes
skjønnhetssalong,beauty salon
københavns,Copenhagen's
pirko,pirko
fremgår,appears
oksygennivå,oxygen level
tidssone,time zone
klonen,the clone
smøring,lubrication
teleborian,teleborian
connery,connery
dem.,them.
spretten,the bounce
promp,fart
gena,nuisance
gammen,the bastard
ferengierne,the Ferengi
konspirasjoner,conspiracies
fangeleiren,the prison camp
laeddis,laeddis
sexvideo,sex video
immigrasjonsmyndighetene,immigration authorities
geologisk,geological
bøtten,the bucket
klarnet,clarified
sammenlikner,compares
skrubber,scrubs
blackburn,blackburn
gramps,gramps
skyteskive,shooting disc
kaylie,kaylie
overslag,estimate
tubman,tubman
snekre,carpenters
culiacán,culiacán
raffineriet,the refinery
mutasjoner,mutations
attpåtil,again
livaktig,lifelike
slasken,the slush
lebech,lebech
underbevisste,subconscious
benz,Benz
chiller,chiller
kapitel,chapter
byttingen,the exchange
landevei,country road
marzin,marzin
ester,ester
gjetere,shepherds
brigitte,brigitte
dykking,diving
gjesp,yawn
uføre,disabled
ds9,ds9
alters,alters
cracker,cracker
muldyra,the mule
donkey,donkey
engelsklærer,English teacher
butter,butts
stuttgart,stuttgart
kjølen,the keel
fortauskanten,the curb
fjelltoppen,the mountain top
saret,saret
kloremerker,scratch marks
lars-ove,lars-ove
yu-ri,yu-ri
borgerverneren,the public defender
makan,the food
propellene,the propellers
snok,snoop
gibbins,gibbins
innrettet,arranged
ledsaget,accompanied
fosterfamilie,foster family
flir,grinning
spanjolen,the spanish
armageddon,armageddon
falleferdig,dilapidated
hermetisk,hermetic
veid,weighed
slåbroken,broken
gigen,the gig
langstrømpe,long stocking
oher,ouch
overfylte,crowded
notorisk,notorious
kjønnsorganene,the genitals
hovedmannen,the main man
orde,order
feltarbeid,field work
stridshoder,warheads
demokratenes,of the Democrats
uptown,uptown
pantet,the mortgage
lovmann,lawman
speidet,the scout
krabb,crab
tr,tr
veteranene,the veterans
bøtene,the fines
helgenen,the saint
avslapning,relaxation
fridager,days off
bryllupsnatta,the wedding night
runabout,runabout
spinning,spinning
deserterte,deserted
seths,seths
videresende,forward
varsomme,cautious
kystlinjen,the coastline
gangavstand,walking distance
emp,emp
ransakingen,the search
eufori,euphoria
veksel,bill of exchange
winchell,winchell
sjaman,shaman
wannabe,wannabe
maksimale,maximum
briens,Brien's
kamillete,chamomile tea
ledestjerne,guiding star
bekker,streams
leiemord,murder for hire
kålrot,turnip
komposisjon,composition
fjellrose,mountain rose
butikkeieren,the shopkeeper
sculley,sculley
nyra,the kidney
vaktrommet,the guard room
feriere,vacation
grang,degree
jævli,damn it
weber,web
barron,barron
osterberg,Osterberg
seccombe,seccombe
hannahs,hannah's
sensuelle,sensual
mikrobølger,microwaves
outis,outis
egger,eggs
forvisning,exile
vertskap,hosting
urne,urn
guts,guts
shug,shug
budbærer,messenger
strykejern,iron
fragment,fragment
distingvert,distinguished
liberia,liberia
skjeløyd,squint-eyed
kjenning,familiarity
broad,broad
anas,anas
kroppsvarme,body heat
angelique,Angelique
bekjentskaper,acquaintances
uri,uri
helsetilsynet,the Norwegian Health Authority
dln,dln
inntaket,the intake
pekepinn,pointer
bøflene,the buffaloes
cronut,cronut
forkiare,front row
innenlands,domestic
bryggeri,brewery
svant,swan
zasa,zaza
stacie,Stacie
stadighet,constancy
føite,feet
frihavnen,the free port
spekteret,the spectrum
koval,coval
keitel,Kettle
etsende,corrosive
zetan,zetan
miraklene,the miracles
røp,shouted
innrammet,framed
forks,for example
terrys,terry
narkotikapolitiet,the drug police
konstablene,the constables
lures,tricked
legat,legacy
forvoldt,caused
feilstavet,misspelled
rockens,rock's
plagene,the troubles
bettina,Bettina
frosten,the frost
månebasen,the moon base
styrkes,strengthened
blods,blood
stikkene,the stitches
terminus,terminus
utvidede,expanded
pid,pid
evangelium,gospel
velcoro,welcoro
zootropolis,zootropolis
vrikke,wiggle
peoples,peoples
hamsun,Hamsun
hobie,hobby
kroppslige,bodily
ikaros,Icarus
kelsi,kelsey
slĺ,hit
nootka,nootka
legend,legend
ladgerda,warehouse
notatbok,notebook
groupie,groupie
breeze,breeze
suspenderer,suspends
ferenginar,ferenginar
duman,smoke
skolelaget,the school team
raknet,raked
hyrt,hired
operasjonssal,operating theatre
tyvaktige,thieving
hammett,hammered
orakelet,the oracle
sirklet,the circle
savna,missed
sørens,of course
turnerer,tours
bevæpnete,armed
piskes,whipped
awad,awad
whiskers,whiskers
tirith,tirith
muterer,mutates
tilbakevendte,returned
varick,varick
fyldige,plump
knopp,bud
kjendisen,the celebrity
kliss,sticky
vs.,vs.
frigjøringen,the liberation
salmon,salmon
overlapper,overlaps
mordetterforskning,homicide investigation
symaskinen,the sewing machine
gammelsmurf,old smurf
vaktskifte,change of guard
winkle,winkle
jakkelommen,jacket pocket
pharmaceuticals,pharmaceuticals
teselskap,tea party
abramoff,abramoff
dikteren,the poet
grøften,the ditch
badebukse,swimming trunks
lnnta,lnta
maskingeværer,machine guns
betagende,breathtaking
driller,drills
solguden,the sun god
sv,St
phillies,phillies
forsøksdyr,experimental animals
sukkersyke,diabetes
meningsmåling,opinion poll
joggetur,jogging trip
møy,hard
ballade,ballad
tandy,tandy
canaveral,canaveral
låsesmed,locksmith
omfavnelse,embrace
riyadh,riyadh
fortryllelsen,the enchantment
særegen,distinctive
steady,steady
quintana,quintana
skorpen,the crust
overvåkingskamera,surveillance camera
skottlands,of Scotland
dewitt,dewitt
kunstskolen,the art school
saab,saab
koldo,cold
bysten,the bust
røra,stir
stepford,stepford
ns,n.s
pompey,Pompeii
jamals,ever
kugalskap,mad cow
kunsthistorie,art history
taggert,tagged
donoren,the donor
gullbarrer,gold bars
fie,fie
opprett,create
rettsmedisinere,medical examiners
føderasjon,federation
zuko,zuko
befalshavende,in command
hokuspokus,hocus pocus
spenstig,resilient
seddelen,the note
brannalarm,fire alarm
handlekraftig,able to act
hovedstyrken,the main force
teipe,tape
woodbine,woodbine
fotograferes,be photographed
valde,chose
nødhjelp,emergency assistance
rosenthal,rosenthal
salomons,Solomon's
kortslutte,short circuit
klaps,clap
innhøsting,harvest
dorte,went there
hattemakeren,the hatter
føringen,the lead
rettssakene,the trials
vedlegg,attachment
komprimert,compressed
hayworth,hayworth
sporte,sports
rituelle,ritual
lilje,lily
dereks,Derek
flaggskip,flagship
skuddløsningen,the shot solution
familiegjenforening,family reunification
walkabout,walkabout
bankerott,bankruptcy
hinduer,Hindus
beths,beths
fossefall,waterfall
eika,oak
agerer,acts
repriser,replays
kludd,mess
avlyses,is cancelled
sikkerhetsteam,security team
spillejobber,gigs
kunstnerne,the artists
borgerplikt,civic duty
underdirektør,deputy director
mitchel,Mitchell
pastill,lozenge
komiske,comical
fristerinne,temptress
sushien,the sushi
punsjen,the punch
lemonade,lemonade
indikere,indicate
treningsprogram,training program
føkker,breeds
apartheid,apartheid
digby,you city
guttebarn,boy child
måken,the seagull
uhemmet,unrestrained
nykommeren,the newcomer
parentes,brackets
mods,mods
screaming,screaming
utilbørlig,inappropriate
brifer,briefs
erjenta,the girl
boardman,boardman
dete,there
gjengmedlemmer,gang members
deutsche,deutsche
gotland,Gotland
creighton,creighton
dristighet,boldness
innovasjon,innovation
bursdagsselskapet,the birthday party
utilfreds,dissatisfied
mujahedin,mujahedin
underdanig,submissive
rabler,rumbles
verdensherredømme,world domination
misse,miss
rommen,the room
puppe,pupa
pressefolk,press people
stenberg,Stenberg
ryggene,the backs
næringsliv,business life
evnukk,eunuch
sprettert,slingshotted
korrespondansen,the correspondence
kerissa,Kerissa
vincis,vincis
burritoen,the burrito
viktoriansk,Victorian
periskopet,the periscope
laguna,laguna
periskopdybde,periscope depth
begbie,begbee
filmstjernen,the movie star
bloomingdale,bloomingdale
hylsene,the sleeves
speight,speight
pensacola,Pensacola
fisle,fidget
kommandørens,the commander's
månelyset,the moonlight
dritkul,shit cool
forsnakket,pre-talked
cherbourg,cherbourg
seb,seb
bukken,the buck
dyreliv,wildlife
varselet,the notice
melkemannen,the milkman
bestikkelsene,the bribes
spilleliste,playlist
pryd,ornament
bower,bower
falafel,falafel
canadiere,Canadians
tilstedeværelsen,the presence
konferere,confer
suggs,sucks
antent,ignited
kamuflasjen,the camouflage
defensiven,the defensive
terningspill,dice game
fabrizio,Fabrizio
hapet,the hope
obligatoriske,mandatory
kjempesøtt,very cute
heteroseksuell,heterosexual
militærnekter,conscientious objector
slakting,slaughtering
eksorsismen,the exorcism
lanken,the lanyard
stikkordet,the keyword
iljas,Iljas
pervoer,perverts
riordan,Riordan
magnetisme,magnetism
høyresving,right turn
molekylære,molecular
korttriks,card trick
kili,kili
dna-prøver,dna samples
linley,linley
innsideinformasjon,inside information
leavenworth,leavenworth
dunlop,dunlop
ubehaget,the discomfort
jeffs,geez
irisen,the iris
omalu,omalu
millicent,millicent
ét,one
patolog,pathologist
udyrets,of the beast
hör,hear
saksere,Saxons
overstyrer,overrides
mea,mea
miserabel,miserable
motstandsfolk,resistance people
molekylene,the molecules
moco,moco
romprogrammet,the space program
hjertens,of the heart
værelser,rooms
padrone,padrone
boisfontaine,boisfontaine
bredd,width
desillusjonert,disillusioned
ttil,till
hokus,focus
seremonier,ceremonies
barnesykehus,children's hospital
sødme,sweetness
truppen,the squad
unnviker,avoids
queenie,queenie
forretningssans,business acumen
ruskov,brushwood
portvakt,porter
uranus,uranus
destroyeren,the destroyer
hanekamp,cockfight
oppspilte,played up
tv-stjerne,tv star
scanner,scanner
benes,legs
kongressvalget,congressional elections
goliath,goliath
print,print
marka,mark
framstille,produce
uortodokse,unorthodox
petula,Petula
stålsett,steel set
edmure,edmure
holberg,Holberg
frosty,frosty
miljøer,environments
nissefar,Santa Claus
gjenoppbygger,rebuilds
opprømte,elated
dathan,the colors
plott,plot
fife,fife
korrumperer,corrupts
revolusjonens,of the revolution
nord-carolina,North Carolina
belikoff,belikoff
pleiere,caregivers
vidunderbarnet,the prodigy
voltaire,Voltaire
ustabilitet,instability
clair,clear
hawkes,hawks
vedlikeholdt,maintained
siena,Siena
matisse,matisse
scenariet,the scenario
ajar,year
outer,outer
spalding,spalding
bitcoin,bitcoin
syerske,seamstress
treverk,woodwork
attack,attack
kommandert,commanded
kahytten,the cabin
innenriksdepartementet,the Ministry of the Interior
bleia,the diaper
nummerert,numbered
spoon,spoon
mansion,mansion
pantelåner,pawnbroker
wasima,wasima
roan,roan
dobbeltrom,double room
margaritaer,margaritas
kartongen,the carton
maester,master
fotballkamper,football matches
skred,landslide
apparatene,the devices
degenererte,degenerate
påsyn,inspection
spjæling,spieling
papaya,papaya
skvær,crooked
aegon,aegon
vipp,seesaw
barrikade,barricade
eiendomsmeglere,real estate agents
stormare,magnates
sjefssersjant,chief sergeant
defensive,defensive
helmaks,full max
tunis,Tunisia
ettertiden,posterity
golv,floor
velorganisert,well organized
sayle,Sayle
kedr,boring
ando,duck
dedikerte,dedicated
slaughter,slaughter
hylster,holster
blodkarene,the blood vessels
konkurrert,competed
slaveskip,slave ship
ebenezer,Ebenezer
prognoser,forecasts
pågripelser,arrests
anneks,annex
saavik,Saavik
gjennomsnittlige,average
fakturaene,the invoices
annett,other
mortem,mortem
naian,Nay
masterson,master son
pulitzer-prisen,pulitzer prize
ekspedisjoner,expeditions
pavelige,papal
tilstelningen,the event
lanes,lanes
mozzarella,mozzarella
strammes,tighten
miyuki,miyuki
arvegods,inheritance
arteriene,the arteries
pultene,the desks
utpressingen,the extortion
herligheten,the glory
jabb,yup
fortroppen,the vanguard
anskaffe,acquire
carli,carly
hilsninger,greetings
boog,bow
spesialenhet,special unit
bois,wood
komponentene,the components
snydens,cheating
særegne,distinctive
getz,getz
vile,rest
bilag,attachment
hasselhoff,hasselhoff
frigjørende,liberating
atropin,atropine
advokatkontor,law office
lvanhoe,lvanhoe
parkway,parkway
ribanna,ribanna
beboelig,habitable
bakers,bakers
tjenestefeil,service error
befrielsen,the liberation
arctic,arctic
hettene,the caps
altmuligmann,jack of all trades
fredsprosessen,the peace process
entreprenøren,the contractor
taw,taw
veldige,very
depp,depress
vitneforklaringer,witness statements
skrothaugen,the scrap heap
størstedelen,the majority
makabert,macabre
tvilende,doubtful
kuldegrader,degrees Celsius
tareq,tareq
jaye,yay
racer,racer
jolle,dinghy
cray,cray
langford,longford
kunstskole,art school
tronstad,throne city
porene,the pores
kryssforhøre,cross-examine
fordampet,evaporated
bruse,shower
tarth,tartar
funksjonene,the functions
warrens,warrens
omorganisere,reorganize
ødeleggeren,the destroyer
betsey,betsey
røykingen,the smoking
midd,mite
sandsekker,sandbags
leddgikt,arthritis
sprukne,cracked
roste,praised
pasjon,passion
angier,indicates
guiiet,the guide
kitten,the kitten
kjorte,drove
yubaba,yubaba
feilte,failed
saldo,balance
beregnes,is calculated
ubarmhjertige,relentless
varmtvannsberederen,the water heater
harrieth,Harriet
tuna,tuna
kompaniskap,company leadership
sutra,sutra
skildring,depiction
trikot,leotard
lantern,lantern
medhjelperen,the helper
quangel,quangle
hari,hari
stritte,bristle
hound,hound
lesters,read
utifra,from the outside
madero,Madero
sluttresultatet,the end result
teleportering,teleportation
velmenende,well meaning
uplanlagt,unplanned
pinkus,pinkus
moores,moors
klaring,clearance
oppfinnelsene,the inventions
supreme,supreme
berna,the children
skrekkens,of horror
aa-møter,AA meetings
arrivederci,arrivederci
overvåknings,surveillance
pustingen,the breathing
kroppsbygning,physique
solfylte,sunny
macready,macready
ubetenksomt,recklessly
dollie,dolly
sparegris,piggy bank
tannkjøttet,the gums
tilbøyeligheter,inclinations
nordlyset,the northern lights
scranton,scranton
aung,aung
lærebok,textbook
virkelighetens,of reality
rekruttering,recruitment
manøvrer,maneuvers
kullsyre,carbonic acid
skyteskiver,shooting discs
oldtiden,ancient times
scotia,Scotland
juana,Juana
avfyringen,the firing
folkemassen,the mass of the people
legetime,doctor's appointment
utvises,be expelled
andremann,second man
kompanisjefen,the company commander
gjedde,pike
giftekniv,poison knife
milf,milf
vasile,vasile
etterkomme,comply
dewaid,dewaid
tupper,tips
aqua,aqua
yndlingsstedet,favorite place
elektroder,electrodes
administrative,administrative
forsonet,reconciled
isoler,isolate
uprofesjonell,unprofessional
social,social
two-i-c,two-in-c
münchhausen,Munich
kershaw,kershaw
tass,paw
porteføljen,the portfolio
skyhøy,sky high
slide,slide
edmond,Edmond
hallet,the hall
rudyard,rudyard
alcott,alcott
female,female
boarding,boarding
kjettere,heretics
hoppene,the mares
arvtager,heir
stanwyk,stanwyk
våtservietter,wet wipes
transportørrom,transporter room
styrerommet,the boardroom
aribau,aribau
ofringer,sacrifices
tidligste,earliest
apner,opens
sør-kina,south china
skiftenøkkel,wrench
diligence,diligence
grisebanke,piggy bank
tildeles,is awarded
glyn,glin
geneva,Geneva
dommene,the judgments
gudsforlatt,God forsaken
grenseløst,limitless
murphyen,the murphy
gjenoppliving,revival
forward,forward
ankedomstolen,the Court of Appeal
pengeskap,safe
kremeres,cremated
solformørkelse,solar eclipse
kjølesystemet,the cooling system
instruksen,the instruction
maurer,ants
mottrekk,countermovement
nedbør,precipitation
lørdagskvelden,Saturday evening
jin-tae,jin-tae
utspørringen,the interrogation
festa,party
sjøuhyret,the sea monster
kaldblodige,cold-blooded
læret,taught
gnidd,rubbed
giemme,hide
avkledd,undressed
pipet,beep
hevnlysten,the desire for revenge
k2,k2
dadler,dates
filmselskapet,the film company
oppmuntringen,the encouragement
fon,phone
medhold,approval
brockie,brockie
daffy,daffy
shipping,shipping
boksåpner,can opener
gymlæreren,the gym teacher
alkoholfri,alcohol-free
barnemorder,child killer
tullpreik,toll point
bryggeriet,the brewery
graffitien,the graffiti
should,should
merida,Merida
seigt,tough
shack,shack
kubra,cobra
heteslag,heat stroke
tjernet,the pond
enkefru,widow lady
digicorp,digicorp
uretten,the injustice
opprøre,revolt
stillestående,stationary
stargazer,stargazers
fremskrittene,the advances
designeren,the designer
fornærmede,offended
utpresseren,the blackmailer
speak,speak
ntsb,ntsb
arlen,arlen
lanterne,the lantern
galakser,galaxies
forkaste,discard
nålestikk,needle stick
kateter,catheter
albanerne,the Albanians
reddingtons,reddingtons
pokerspill,poker game
quist,quist
simba,simba
installasjon,installation
hammy,hammy
sjokoladeis,chocolate ice cream
savoie,Savoy
vitnemålene,the diplomas
broome,broom
uspiselig,inedible
msnbc,msnbc
kroniske,chronic
nobels,nobels
luggen,the bangs
overlegent,superior
iest,iest
langhelg,long weekend
geleen,the jelly
halden,the slope
malena,the male
kamal,terrible
serveringsdame,waitress
talkshow,talk show
atleter,athletes
veddeløpsbanen,the racetrack
tettsittende,tight fitting
forberedes,be prepared
saber,sabre
bankmenn,bankers
treere,threes
tupp,tip
treng,need
avskjeden,the farewell
badedrakten,the bathing suit
kjempesnill,very kind
konteiner,container
cd-ene,the cds
forfølgeren,the pursuer
setebelte,seat belt
ordinert,ordained
uriel,Uriel
kneskålene,the kneecaps
labour,labour
veikrysset,the crossroads
turbanen,the turban
flinkeste,smartest
crutze,crutz
arkham,arkham
ørnene,the eagles
asta,asta
uslåelige,unbeatable
gjete,shepherd
iyver,iyver
dock,however
partimedlem,party member
brain,brain
jaktulykke,hunting accident
stiene,the paths
ballader,ballads
slektskap,kinship
melonen,the melon
pecos,pecos
kjedene,the chains
hae-won,hae-won
arrestordrer,arrest warrants
f-16,f-16
kansellerte,cancelled
rutherford,rutherford
veddeløpshest,racehorse
fusk,cheat
barnevakter,babysitters
uoppmerksom,inattentive
inspeksjoner,inspections
tilbakebetalt,repaid
bestikkes,be bribed
denna,this one
fjolsene,the fools
lasagnen,the lasagna
månelandingen,the moon landing
enset,agreed
omgjengelig,sociable
uvilje,unwillingness
reptiler,reptiles
skolesystemet,the school system
genest,immediately
overensstemmelse,conformity
operation,operation
matematikere,mathematicians
skylark,cloud sheet
aftenens,of the evening
påbegynner,begins
hoffdame,lady of the court
foriater,foriate
talentshowet,the talent show
jay-z,jay-z
blanda,mix
